Nearest Ensembl,Gene Name,Gene Type,crel_mouse Best Motif log-odds Score,p65_p50_mouse Best Motif log-odds Score,crel_p50_mouse Best Motif log-odds Score
ENSMUSG00000079700,Fpr3,protein-coding,2.79101,0.011295,3.045231
ENSMUSG00000032867,Fbxw8,protein-coding,5.371975,4.359703,3.563364
ENSMUSG00000095870,Lce1k,protein-coding,5.924097,7.503655,7.863732
ENSMUSG00000056917,Sipa1,protein-coding,4.028579,0.154734,4.627127
ENSMUSG00000048200,Cracr2b,protein-coding,3.621919,6.746893,7.840651
ENSMUSG00000028187,Rpf1,protein-coding,5.604912,4.359703,3.563364
ENSMUSG00000040209,Zfp704,protein-coding,4.63205,3.272593,2.842843
ENSMUSG00000049528,Olfr429,protein-coding,8.707662,2.822945,1.641319
ENSMUSG00000054008,Ndst1,protein-coding,4.373089,2.65671,4.01376
,Olfr208,protein-coding,3.344784,4.575492,5.161005
ENSMUSG00000026918,Brd3,protein-coding,2.845984,6.701873,5.008704
ENSMUSG00000020836,Coro6,protein-coding,2.886638,7.480267,8.766016
ENSMUSG00000051582,Otud6a,protein-coding,4.522565,2.25681,6.159925
,Ercc4,protein-coding,2.133067,1.255666,2.014737
ENSMUSG00000071428,Vmn1r27,protein-coding,3.089448,4.313417,4.134155
,Snord12,snoRNA,2.40989,0.816238,1.361065
ENSMUSG00000003458,Ncstn,protein-coding,6.860722,1.739042,3.474671
ENSMUSG00000024667,Tmem216,protein-coding,5.167915,7.153273,8.388468
ENSMUSG00000024768,Lipf,protein-coding,5.331216,2.550118,2.652737
ENSMUSG00000053490,Trim60,protein-coding,4.028579,2.808423,2.774553
ENSMUSG00000095829,Speer1,protein-coding,2.446604,6.620878,5.175806
ENSMUSG00000094271,Gm13290,protein-coding,3.163566,5.631523,6.263068
ENSMUSG00000100985,Gm10640,ncRNA,6.176928,9.251936,9.033253
ENSMUSG00000023232,Serinc2,protein-coding,9.30991,3.875262,4.439587
ENSMUSG00000022257,Laptm4b,protein-coding,3.621814,5.730721,5.210764
ENSMUSG00000076435,Acsf2,protein-coding,5.278747,7.063948,8.236967
ENSMUSG00000092564,BC051226,ncRNA,6.104645,3.109297,6.408394
ENSMUSG00000037613,Tnfrsf23,protein-coding,2.092308,3.861682,2.555695
ENSMUSG00000088752,Mir1934,ncRNA,2.886638,3.830695,5.643586
ENSMUSG00000050931,Sgms2,protein-coding,5.331216,5.355523,5.323804
ENSMUSG00000057280,Musk,protein-coding,5.924097,5.686195,7.865028
ENSMUSG00000023484,Prph,protein-coding,4.618194,5.619298,7.60397
ENSMUSG00000021501,Caml,protein-coding,3.694202,3.323414,3.563364
ENSMUSG00000022191,Drosha,protein-coding,3.730245,3.607657,4.699349
ENSMUSG00000020393,Kremen1,protein-coding,2.976569,0.496803,3.618701
ENSMUSG00000079423,Gm3286,protein-coding,8.406823,2.466959,5.314662
ENSMUSG00000089255,Snora78,snoRNA,9.30991,4.251093,6.856966
ENSMUSG00000021263,Degs2,protein-coding,3.992535,7.897937,8.013806
ENSMUSG00000002043,Trappc6a,protein-coding,9.054574,4.810529,3.449023
ENSMUSG00000030205,Gprc5d,protein-coding,4.525071,5.580037,5.612108
ENSMUSG00000062252,Lhfpl5,protein-coding,3.069692,2.850858,5.019131
ENSMUSG00000014959,Gorasp2,protein-coding,3.694097,1.611196,4.219022
ENSMUSG00000044287,Nrn1l,protein-coding,3.10132,1.255666,4.386134
,Kcnd1,protein-coding,7.655653,9.864713,9.955154
ENSMUSG00000060962,Dmkn,protein-coding,5.167915,3.988078,6.66686
ENSMUSG00000048938,Nr1h5,protein-coding,6.176928,0.459154,1.813083
,A430090L17Rik,ncRNA,3.782714,4.968217,4.916044
ENSMUSG00000047003,Zfp41,protein-coding,0.032984,2.853301,3.779592
ENSMUSG00000035864,Syt1,protein-coding,9.991304,7.129237,4.666321
ENSMUSG00000026199,Ankzf1,protein-coding,5.276346,5.996255,8.509813
ENSMUSG00000030890,Ilk,protein-coding,9.237627,6.306266,9.102415
ENSMUSG00000051506,Wdfy4,protein-coding,3.10132,3.605867,1.256482
ENSMUSG00000020366,Mapk9,protein-coding,1.297482,0.046021,2.621011
ENSMUSG00000094307,Gm14347,protein-coding,9.054574,3.245354,3.625124
ENSMUSG00000043391,2510009E07Rik,protein-coding,2.886743,1.631508,2.441874
ENSMUSG00000059106,Olfr961,protein-coding,2.886743,4.819239,4.806972
ENSMUSG00000031996,Aplp2,protein-coding,7.655548,7.495682,8.142023
ENSMUSG00000041488,Stx3,protein-coding,2.845984,5.255646,3.361631
ENSMUSG00000049409,Prokr1,protein-coding,5.170421,3.928508,6.159925
ENSMUSG00000027380,Acoxl,protein-coding,5.425757,3.960809,6.427163
ENSMUSG00000095557,Gm3415,protein-coding,5.423251,1.101886,2.06023
ENSMUSG00000006575,Rundc3a,protein-coding,5.331216,3.366052,7.397313
ENSMUSG00000032556,Bfsp2,protein-coding,6.477767,3.969519,6.06068
,Timp4,protein-coding,4.028683,0.641144,5.291977
ENSMUSG00000025519,Tktl2,protein-coding,3.10132,3.839402,4.571282
ENSMUSG00000027547,Sall4,protein-coding,5.331216,5.809586,3.778296
,Dlg2,protein-coding,2.200739,3.828422,4.425328
ENSMUSG00000028832,Stmn1,protein-coding,3.089448,4.3701,7.019765
ENSMUSG00000020397,Med7,protein-coding,5.425652,3.829609,7.253283
ENSMUSG00000075181,Olfr1066,protein-coding,4.673929,3.236408,3.188702
ENSMUSG00000029672,Fam3c,protein-coding,4.028579,7.374761,8.369699
ENSMUSG00000003119,Cdk12,protein-coding,4.618299,5.292335,6.531865
ENSMUSG00000000805,Car4,protein-coding,3.694202,1.773374,5.239794
,Dalir,ncRNA,5.170316,0.486217,2.058934
ENSMUSG00000025981,Coq10b,protein-coding,6.179433,3.791435,4.767711
ENSMUSG00000107476,Zfp862-ps,pseudo,6.104645,4.603147,3.045231
ENSMUSG00000025499,Hras,protein-coding,3.730245,4.973533,7.012289
ENSMUSG00000017491,Rarb,protein-coding,4.577539,6.20261,6.148865
ENSMUSG00000039178,Tbc1d19,protein-coding,3.029037,1.89452,2.597929
ENSMUSG00000026585,Kifap3,protein-coding,7.653147,3.263857,5.762312
ENSMUSG00000028782,Adgrb2,protein-coding,0.216708,1.503295,1.626042
ENSMUSG00000040124,Gorab,protein-coding,7.655653,7.315492,6.804711
ENSMUSG00000039952,Dag1,protein-coding,6.858321,4.303248,4.853736
ENSMUSG00000031767,Nudt7,protein-coding,6.824679,6.777426,7.863732
ENSMUSG00000053030,Spink2,protein-coding,2.200634,0.719458,1.843853
,Gm21119,protein-coding,1.487717,3.214804,4.72206
ENSMUSG00000101584,4930519F24Rik,ncRNA,3.142079,2.261308,3.761774
ENSMUSG00000014232,Cluap1,protein-coding,5.425757,2.208984,3.473718
ENSMUSG00000076011,Mir652,ncRNA,9.991304,5.665584,5.047965
ENSMUSG00000054715,Zscan22,protein-coding,1.581591,1.615731,4.920012
ENSMUSG00000045690,Wdr89,protein-coding,8.409329,13.609628,11.91646
ENSMUSG00000000148,Brat1,protein-coding,8.409224,3.323414,3.563364
,Zfp781,protein-coding,3.029037,2.626046,3.470703
ENSMUSG00000022026,Olfm4,protein-coding,8.409329,11.602188,12.079258
ENSMUSG00000003665,Has1,protein-coding,5.425652,1.396905,1.95797
ENSMUSG00000026874,Hc,protein-coding,8.409329,5.079039,7.096299
ENSMUSG00000060657,Marf1,protein-coding,6.752396,2.569578,3.94231
ENSMUSG00000062410,Hsd3b3,protein-coding,3.621814,4.572491,1.897522
ENSMUSG00000029920,Smarcad1,protein-coding,6.179329,-1.016129,2.523061
ENSMUSG00000060216,Arrb2,protein-coding,0.692891,4.276759,5.254642
ENSMUSG00000040899,Ccr6,protein-coding,5.425652,1.973988,4.894364
ENSMUSG00000040055,Gjb6,protein-coding,6.179329,3.589637,6.06068
ENSMUSG00000105379,Mir1191b,ncRNA,6.860722,10.817111,10.478594
ENSMUSG00000021374,Nup153,protein-coding,0.533167,4.839062,3.342862
ENSMUSG00000005087,Cd44,protein-coding,6.071002,7.494595,6.9335
ENSMUSG00000026842,Abl1,protein-coding,5.331216,5.983333,3.762975
ENSMUSG00000028514,Usp24,protein-coding,3.10132,1.325537,3.209326
ENSMUSG00000022681,Ntan1,protein-coding,9.237627,4.159951,4.512227
ENSMUSG00000051212,Gpr183,protein-coding,4.52267,2.128046,3.030274
ENSMUSG00000068391,Chrac1,protein-coding,5.924097,10.231169,10.471119
,Loxl4,protein-coding,8.556234,8.74107,9.169808
ENSMUSG00000097262,4933416M07Rik,ncRNA,9.991304,2.175439,2.8633
ENSMUSG00000052748,Swt1,protein-coding,3.878374,3.359552,5.170632
ENSMUSG00000096139,Gm7978,protein-coding,2.200739,-0.370152,2.700392
ENSMUSG00000027469,Tpx2,protein-coding,6.10715,7.224571,9.102415
ENSMUSG00000027993,Trim2,protein-coding,4.618299,5.341192,3.955627
ENSMUSG00000040195,Tmem194,protein-coding,0.95057,0.373608,1.207491
ENSMUSG00000042572,Ube2q1,protein-coding,2.976569,1.540369,5.612108
,2610206C17Rik,ncRNA,4.52267,4.407,3.967156
ENSMUSG00000034165,Ccnd3,protein-coding,5.57468,4.697651,7.260758
ENSMUSG00000021850,1700011H14Rik,protein-coding,3.823473,2.498363,5.050984
ENSMUSG00000079415,Cntf,protein-coding,4.712068,2.701583,7.416081
ENSMUSG00000097962,1700034G24Rik,ncRNA,4.63205,2.771704,4.769726
ENSMUSG00000030483,Cyp2b10,protein-coding,5.331216,7.480267,5.870668
ENSMUSG00000003644,Rps6ka1,protein-coding,4.618299,5.704845,8.698623
ENSMUSG00000094443,Sgol2b,protein-coding,8.300898,2.545942,1.904907
ENSMUSG00000100799,1700027H10Rik,ncRNA,3.029037,2.291955,5.036963
ENSMUSG00000091175,9130204L05Rik,protein-coding,8.406823,7.04291,8.104725
ENSMUSG00000019909,Fam162b,protein-coding,6.752396,7.374761,5.170632
,Gm7609,protein-coding,2.337005,7.964075,9.169808
ENSMUSG00000033174,Mgll,protein-coding,3.046346,2.055023,5.151863
ENSMUSG00000051390,Zbtb22,protein-coding,3.621919,8.251072,8.525023
ENSMUSG00000042082,Arsb,protein-coding,3.069692,3.323414,3.563364
ENSMUSG00000019848,Popdc3,protein-coding,3.782714,3.109297,3.243082
ENSMUSG00000094208,Vmn1r130,protein-coding,1.338136,3.218854,4.308641
ENSMUSG00000051243,Islr2,protein-coding,-0.031662,0.507551,3.794453
ENSMUSG00000052749,Trim30b,protein-coding,6.176928,7.926489,7.833175
ENSMUSG00000055430,Nap1l5,protein-coding,2.940421,-0.126137,3.769154
ENSMUSG00000073728,Tmem51os1,ncRNA,6.752396,8.70874,8.54164
ENSMUSG00000023118,Sympk,protein-coding,9.237627,5.004493,6.924359
ENSMUSG00000086607,4930511M06Rik,ncRNA,4.851235,8.250427,8.629461
,A930013F10Rik,ncRNA,2.474435,3.366833,3.794124
ENSMUSG00000020085,Aifm2,protein-coding,3.083548,2.939964,5.648709
ENSMUSG00000027598,Itch,protein-coding,6.107046,2.189767,4.734081
ENSMUSG00000026131,Dst,protein-coding,3.10132,0.201071,1.165906
ENSMUSG00000026834,Acvr1c,protein-coding,5.276241,0.777066,3.715664
,4933412E12Rik,ncRNA,8.406823,3.190909,5.564797
ENSMUSG00000019338,Zfp687,protein-coding,9.237627,4.680101,6.308704
ENSMUSG00000086903,Hotair,ncRNA,5.37187,6.71367,8.104725
ENSMUSG00000048655,Ccdc169,protein-coding,4.375595,6.773251,6.692507
ENSMUSG00000048040,Arxes2,protein-coding,6.179329,0.143651,4.386134
ENSMUSG00000028702,Rad54l,protein-coding,2.200739,3.839402,4.567107
ENSMUSG00000101155,Sly,protein-coding,3.347185,7.480267,8.766016
ENSMUSG00000020573,Pik3cg,protein-coding,6.176928,-0.797626,4.165471
ENSMUSG00000046862,Pramef8,protein-coding,6.104645,4.100409,3.602624
ENSMUSG00000017000,Svs6,protein-coding,6.071002,1.05632,2.804238
ENSMUSG00000074952,Olfr1308,protein-coding,3.782714,0.467006,3.449023
,Gm6042,pseudo,3.069796,6.513643,5.411625
ENSMUSG00000024354,Slc23a1,protein-coding,7.506072,3.593135,4.920012
ENSMUSG00000085528,4930401O10Rik,ncRNA,5.37187,5.393266,6.39531
ENSMUSG00000049643,2310022A10Rik,protein-coding,8.556234,4.001973,2.809412
ENSMUSG00000020453,Patz1,protein-coding,9.054574,8.469898,7.709705
ENSMUSG00000050613,Olfr125,protein-coding,3.621919,2.782594,6.158629
ENSMUSG00000079681,Zglp1,protein-coding,5.425757,9.716178,9.682308
ENSMUSG00000004707,Ly9,protein-coding,5.331216,4.143598,6.333526
ENSMUSG00000102046,2810404M03Rik,ncRNA,9.054574,10.592597,10.074802
ENSMUSG00000052613,Pcdh15,protein-coding,2.444203,5.580037,5.412496
ENSMUSG00000028786,Tmem54,protein-coding,2.482173,2.628787,5.951972
ENSMUSG00000096140,Ankrd66,protein-coding,6.752396,3.286921,5.019131
,4930470O06Rik,ncRNA,2.200739,4.262431,3.181786
,Gm14057,pseudo,1.799907,1.503295,2.084846
ENSMUSG00000034006,Pqlc1,protein-coding,10.786129,6.176193,7.337292
ENSMUSG00000047205,Dusp18,protein-coding,7.15916,1.185383,5.173518
ENSMUSG00000038481,Cdk19,protein-coding,0.692891,5.050344,4.099374
ENSMUSG00000006599,Gtf2h1,protein-coding,3.823473,3.281287,5.323804
ENSMUSG00000097424,1700030M09Rik,ncRNA,0.652132,0.289752,1.858261
ENSMUSG00000030523,Trpm1,protein-coding,9.30991,7.75243,6.159222
ENSMUSG00000038791,Scgb3a2,protein-coding,4.851235,3.964096,4.006416
ENSMUSG00000085499,Gm15713,ncRNA,6.071002,0.00708,5.049688
ENSMUSG00000054409,Tmem74,protein-coding,8.556234,2.927807,5.019131
ENSMUSG00000027168,Pax6,protein-coding,3.621919,2.25681,6.159925
ENSMUSG00000045665,Mfsd5,protein-coding,8.556234,3.323414,5.050984
ENSMUSG00000001017,Chtop,protein-coding,4.028683,6.66538,6.416239
ENSMUSG00000031712,Il15,protein-coding,6.860827,6.95845,9.712865
ENSMUSG00000035585,Tsen34,protein-coding,4.028683,2.495433,3.794453
ENSMUSG00000031922,Cep57,protein-coding,4.37549,2.190089,3.188702
ENSMUSG00000067855,Speer3,protein-coding,9.30991,9.491664,10.471119
ENSMUSG00000020549,Elac2,protein-coding,3.694202,8.131043,7.436859
ENSMUSG00000099011,Mir6380,ncRNA,2.93802,3.458618,6.615973
ENSMUSG00000056679,Gpr173,protein-coding,5.331216,7.739561,9.102415
ENSMUSG00000006958,Chrd,protein-coding,3.992535,0.235809,1.481513
ENSMUSG00000020857,Nme2,protein-coding,5.331216,1.831534,4.47144
ENSMUSG00000043284,Tmem11,protein-coding,4.026178,0.894147,3.474671
ENSMUSG00000022359,Wdyhv1,protein-coding,4.373089,1.177002,3.13612
,Rbm46,protein-coding,0.656743,5.477354,6.023371
ENSMUSG00000068328,Aup1,protein-coding,3.823368,6.20261,6.148865
ENSMUSG00000067524,Olfr1428,protein-coding,5.37187,5.043753,8.861422
ENSMUSG00000037455,Slc18b1,protein-coding,5.37187,1.43067,4.920012
,Mnd1-ps,pseudo,6.107046,8.186053,7.397313
ENSMUSG00000046711,Hmga1,protein-coding,3.782714,4.491635,5.87187
ENSMUSG00000033342,Plppr5,protein-coding,5.921591,6.188282,7.977205
ENSMUSG00000025916,Ppp1r42,protein-coding,5.425757,9.081786,7.840651
ENSMUSG00000021411,Pxdc1,protein-coding,5.278747,8.100237,8.698623
,2810405F15Rik,ncRNA,8.409329,12.638477,12.079258
,Mydgf,protein-coding,3.163566,4.183202,4.79597
ENSMUSG00000010067,Rassf1,protein-coding,2.482173,0.079566,1.921318
ENSMUSG00000021922,Itih4,protein-coding,5.167915,2.939964,6.022074
ENSMUSG00000078606,Gm4070,protein-coding,2.886743,1.401587,4.759369
ENSMUSG00000070372,Capza1,protein-coding,3.782714,2.938848,3.341002
ENSMUSG00000027206,Cops2,protein-coding,5.577185,8.186053,6.621147
ENSMUSG00000089730,1700007P06Rik,ncRNA,8.300898,1.454648,4.198245
ENSMUSG00000101404,1700009C05Rik,ncRNA,7.653147,3.30264,4.316972
ENSMUSG00000049985,Ankrd55,protein-coding,7.15916,2.849585,2.621011
ENSMUSG00000036120,Rfxank,protein-coding,7.506072,6.156878,2.441874
ENSMUSG00000032745,Gpbp1,protein-coding,10.786129,13.214021,12.320252
ENSMUSG00000079630,Rhox4f,protein-coding,3.992535,4.486197,5.763609
ENSMUSG00000027560,Dok5,protein-coding,6.477767,5.104378,3.983203
ENSMUSG00000033313,Fbxl8,protein-coding,2.29267,7.229111,6.699982
ENSMUSG00000033423,Eri3,protein-coding,5.371975,5.996255,7.865028
ENSMUSG00000025503,Taldo1,protein-coding,6.752396,3.569377,7.253283
ENSMUSG00000043289,Mei4,protein-coding,3.823473,3.8735,5.050984
ENSMUSG00000042302,Ehbp1,protein-coding,2.976569,3.808365,4.716608
ENSMUSG00000054766,Set,protein-coding,5.425757,8.417574,9.682308
ENSMUSG00000065555,Mir219a-1,ncRNA,4.028683,5.850402,6.752527
ENSMUSG00000078681,Tm2d3,protein-coding,9.054574,4.384007,4.932525
,Zbtb8os,protein-coding,4.673929,6.926327,8.391354
ENSMUSG00000092035,Peg10,protein-coding,2.198233,6.452116,6.696683
ENSMUSG00000029534,St7,protein-coding,4.577539,8.248968,7.851007
,4930407G08Rik,ncRNA,5.37187,8.151003,8.236967
ENSMUSG00000020697,Lig3,protein-coding,9.30991,0.618477,0.704829
ENSMUSG00000106581,Mir7042,ncRNA,8.409329,12.573339,11.91646
ENSMUSG00000000724,Cryba1,protein-coding,2.940525,1.099739,2.488638
ENSMUSG00000014418,Hps5,protein-coding,3.823473,3.281287,5.323804
ENSMUSG00000021392,Nol8,protein-coding,5.057004,4.945645,4.119456
ENSMUSG00000063058,Prr23a2,protein-coding,2.886638,0.801853,1.858261
ENSMUSG00000099147,Mir7081,ncRNA,5.331216,5.394784,8.698623
ENSMUSG00000026556,Vangl2,protein-coding,5.371975,3.520321,5.323804
ENSMUSG00000009073,Nf2,protein-coding,5.37187,5.478813,5.991518
ENSMUSG00000001280,Sp1,protein-coding,3.344784,1.502542,1.769568
ENSMUSG00000027940,Tpm3,protein-coding,2.444203,2.53248,2.557426
ENSMUSG00000025207,Sema4g,protein-coding,7.506072,2.318798,3.100009
ENSMUSG00000093515,Mir1231,ncRNA,3.347185,0.50901,0.729086
ENSMUSG00000042213,Zfand4,protein-coding,7.506072,8.251072,7.416081
ENSMUSG00000053310,Nrgn,protein-coding,3.621919,1.478356,5.381472
ENSMUSG00000020079,Supv3l1,protein-coding,5.604912,2.870437,4.622814
ENSMUSG00000013766,Ly6g6e,protein-coding,3.029037,5.756388,7.081706
ENSMUSG00000047094,Ofcc1,protein-coding,3.11968,3.263857,4.330289
ENSMUSG00000026991,Pkp4,protein-coding,7.655653,8.828424,9.955154
ENSMUSG00000048919,Olfr223,protein-coding,3.782714,2.997834,3.996749
ENSMUSG00000067768,Xlr4b,protein-coding,3.691696,3.382956,7.087158
ENSMUSG00000018411,Mapt,protein-coding,2.886743,-0.160863,4.622814
ENSMUSG00000042408,Zmym6,protein-coding,5.924097,8.163422,8.254799
,Gm21276,pseudo,2.974168,3.148733,5.395372
,Gins2,protein-coding,2.974168,2.146743,1.857753
ENSMUSG00000022763,Aifm3,protein-coding,3.782714,0.894147,2.58367
ENSMUSG00000047988,4933428G20Rik,protein-coding,5.37187,6.26174,6.9335
ENSMUSG00000078812,Eif5a,protein-coding,3.730245,2.414576,3.920895
ENSMUSG00000047284,Neurl4,protein-coding,7.655548,3.805894,5.54818
ENSMUSG00000064373,Sepp1,protein-coding,2.940421,3.361488,4.425328
ENSMUSG00000071158,Gm156,protein-coding,0.649731,0.50508,3.181786
ENSMUSG00000051695,Pcbp1,protein-coding,5.425757,3.507588,4.042921
ENSMUSG00000091779,Gm21293,protein-coding,6.752396,5.624915,6.421711
ENSMUSG00000023286,Ube2j2,protein-coding,2.241393,4.964797,6.233835
ENSMUSG00000040813,Tex264,protein-coding,9.237627,5.458555,7.657075
ENSMUSG00000046493,Olfr1352,protein-coding,8.556234,3.704802,4.006416
ENSMUSG00000063823,Olfr532,protein-coding,3.823473,2.701583,7.416081
ENSMUSG00000033752,Mnd1,protein-coding,4.37549,4.241718,1.150709
ENSMUSG00000020859,Spag9,protein-coding,2.845984,0.572512,3.20803
ENSMUSG00000045573,Penk,protein-coding,3.782714,3.534652,4.99488
ENSMUSG00000029020,Mfn2,protein-coding,3.069692,4.0993,4.690207
ENSMUSG00000047731,Wbp1l,protein-coding,0.649731,7.634506,5.740898
ENSMUSG00000065954,Tacc1,protein-coding,3.089448,2.416763,2.24904
ENSMUSG00000022856,Tmem41a,protein-coding,3.048852,0.7573,1.502927
,Lppos,ncRNA,7.506072,6.437788,6.736022
ENSMUSG00000002204,Napsa,protein-coding,2.976569,6.716141,6.155046
ENSMUSG00000037730,Mynn,protein-coding,4.712068,2.287254,4.219022
,Tmem196,protein-coding,2.539727,1.341213,0.943252
ENSMUSG00000027079,Clp1,protein-coding,3.691696,3.087524,4.303032
ENSMUSG00000028859,Csf3r,protein-coding,6.179329,1.020732,4.645896
ENSMUSG00000029326,Enoph1,protein-coding,4.525071,0.466253,3.388313
ENSMUSG00000021260,Hhipl1,protein-coding,5.425757,4.758205,6.14469
,Lactb2,protein-coding,2.791114,4.300146,6.399623
ENSMUSG00000031788,Kifc3,protein-coding,4.028579,2.310087,5.307187
ENSMUSG00000013158,4933405L10Rik,protein-coding,2.238992,2.035207,7.019765
ENSMUSG00000028032,Papss1,protein-coding,5.371975,4.386128,5.475553
ENSMUSG00000068264,Ap5s1,protein-coding,10.786129,6.180369,8.508517
ENSMUSG00000054005,Mill1,protein-coding,9.054574,8.469898,7.709705
ENSMUSG00000040528,Milr1,protein-coding,2.200634,3.955315,4.01376
,Hmgb4os,ncRNA,5.37187,9.921109,10.471119
ENSMUSG00000086894,Gm15708,ncRNA,3.992535,2.044289,3.585578
ENSMUSG00000002396,Ocel1,protein-coding,0.82781,2.395634,2.590454
ENSMUSG00000059456,Ptk2b,protein-coding,8.300898,4.329749,6.022074
,9130015A21Rik,ncRNA,9.991304,5.477354,5.213064
ENSMUSG00000094658,Rbmy,protein-coding,3.344784,3.013353,3.563364
ENSMUSG00000024384,Iws1,protein-coding,8.406823,10.698104,10.471119
ENSMUSG00000068245,Phf11d,protein-coding,2.886743,3.447034,4.021536
ENSMUSG00000017057,Il13ra1,protein-coding,2.347644,3.944527,3.521278
ENSMUSG00000061479,Snrpa,protein-coding,0.690385,5.727597,6.159222
ENSMUSG00000065448,Mir154,ncRNA,8.409329,8.100237,8.698623
ENSMUSG00000030043,Tacr1,protein-coding,6.860722,7.899396,8.79226
,A530088E08Rik,ncRNA,8.406823,10.698104,10.471119
ENSMUSG00000031613,Hpgd,protein-coding,9.054574,5.841934,6.673738
ENSMUSG00000022565,Plec,protein-coding,4.618299,1.786656,3.505661
ENSMUSG00000002767,Mrpl2,protein-coding,6.10715,4.409361,6.563717
ENSMUSG00000001911,Nfix,protein-coding,2.976569,7.620178,7.573413
ENSMUSG00000057497,Fam136a,protein-coding,3.782714,4.672484,3.726163
ENSMUSG00000031880,Rrad,protein-coding,7.655653,12.487793,12.320252
,Olfr1082,protein-coding,3.083548,3.934142,6.425866
ENSMUSG00000097023,AI854517,ncRNA,5.425652,3.381497,6.308704
ENSMUSG00000021368,Tbc1d7,protein-coding,7.653147,2.004202,4.165471
ENSMUSG00000094575,Gm20738,protein-coding,8.406823,4.224029,4.021536
,Serp1,protein-coding,8.300898,2.927807,4.029011
ENSMUSG00000029005,Draxin,protein-coding,0.251405,3.621985,3.251758
ENSMUSG00000027206,Cops2,protein-coding,5.577185,8.186053,6.621147
ENSMUSG00000032232,Cgnl1,protein-coding,3.029037,0.670123,2.301314
,Cbfa2t3,protein-coding,3.992535,8.131043,7.436859
ENSMUSG00000094688,Mir467a-7,ncRNA,1.799907,1.200459,5.54818
ENSMUSG00000015790,Surf1,protein-coding,3.029037,1.600452,4.183303
ENSMUSG00000098493,Mir6383,ncRNA,8.409224,0.963738,0.124936
ENSMUSG00000024302,Dtna,protein-coding,8.406823,4.968973,7.012289
